day,month,year,t_max,t_min,prec,sol_rad
1,8,2023,28.14,18.9,15.92,17.38
2,8,2023,29.49,19,0,20.18
3,8,2023,29.14,18.52,5.37,20.16
4,8,2023,29.35,18.23,0.29,21.12
5,8,2023,28.61,18.69,0,19.83
6,8,2023,28.94,18.43,0,21.23
7,8,2023,29.21,18.27,3.56,21.66
8,8,2023,27.71,18.74,20.05,18.82
9,8,2023,26.67,18.67,0.36,16.26
10,8,2023,27.55,18.46,0.91,17.9
11,8,2023,26.19,18.88,13.69,16.49
12,8,2023,27.6,18.53,23.68,19.02
13,8,2023,28.09,17.98,15.33,16.08
14,8,2023,29.72,17.81,9.33,21.35
15,8,2023,28.43,18.56,17.81,19.4
16,8,2023,28.29,17.88,0,19.23
17,8,2023,27.15,18.4,19.95,17.8
18,8,2023,27.58,17.93,36.26,16.94
19,8,2023,29.33,17.35,0,21.84
20,8,2023,26.2,18,12.31,17.89
21,8,2023,28.54,18.03,16.67,19.5
22,8,2023,28.87,18.56,0,20.63
23,8,2023,28.4,18.61,15.24,19.57
24,8,2023,26.87,18.32,20.52,16.59
25,8,2023,28.11,17.06,4.63,20.33
26,8,2023,26.58,18.03,27.33,17.67
27,8,2023,27.82,18.33,27.01,17.88
28,8,2023,27.17,17.94,0,18.6
29,8,2023,29.35,18.17,51.59,20.54
30,8,2023,27.91,18.48,0,19.57
31,8,2023,28.17,18.1,13.2,20.69
1,9,2023,27.43,17.5,6.66,19.06
2,9,2023,28.19,18.05,2.2,20.18
3,9,2023,27.8,17.99,0.81,18.23
4,9,2023,28.69,17.72,4.23,20.54
5,9,2023,29.69,17.02,0,21.72
6,9,2023,29.23,17.19,0,18.14
7,9,2023,29.93,17.04,1.69,21.6
8,9,2023,30.78,16.74,0,23.55
9,9,2023,30.46,17.03,0,22.54
10,9,2023,29.89,17.29,4.33,21.17
11,9,2023,29.25,16.72,0.92,20.81
12,9,2023,29.47,16.08,0,22.05
13,9,2023,30.02,17.15,0,21.5
14,9,2023,30.03,17.8,7.25,21.35
15,9,2023,28.95,16.56,0,21.06
16,9,2023,29.24,16.26,0,21.59
17,9,2023,30.44,16.09,0,21.79
18,9,2023,29.44,16.13,0,20.71
19,9,2023,28.8,16.46,6.31,20.01
20,9,2023,28.78,16.47,0,21.01
21,9,2023,29.11,16.09,3.47,21.23
22,9,2023,30.27,16.27,0.14,21.7
23,9,2023,30.56,16.14,0,21.8
24,9,2023,30.25,15.64,0,21.67
25,9,2023,27.44,16.25,6.48,19.54
26,9,2023,27.72,16.7,0,19.33
27,9,2023,28.33,16.25,2.96,20.64
28,9,2023,27.17,16.22,0,19.4
29,9,2023,27.41,16.31,5.25,19.48
30,9,2023,26.9,16.62,0,20.46
1,10,2023,25.6,16.33,0.89,16.35
2,10,2023,25.79,16.39,2.02,19.63
3,10,2023,27.76,15.59,0,21.72
4,10,2023,27.16,16.32,3.43,19
5,10,2023,26.04,16.65,0,17.91
6,10,2023,27.19,16.19,0,19.07
7,10,2023,28.04,15.91,5.53,21.27
8,10,2023,27.41,16.18,0.25,20.94
9,10,2023,26.72,15.9,0,20.1
10,10,2023,26.7,15.45,0,19.66
11,10,2023,25.98,16.12,2.9,19.57
12,10,2023,27,16.07,0,21.09
13,10,2023,27.03,15.73,0,19.57
14,10,2023,25.38,15.43,0,17.17
15,10,2023,25.27,15.73,0,18.27
16,10,2023,26.33,15.67,0.61,19
17,10,2023,27.37,15.05,0,20.16
18,10,2023,27.56,15.09,0,19.51
19,10,2023,26.5,15.28,9.35,18.99
20,10,2023,25.83,15.67,0,17.47
21,10,2023,27.3,15.77,0,19.18
22,10,2023,28.45,15.36,0,20.6
23,10,2023,26.78,16.27,0,18.12
24,10,2023,28.48,16.59,0,21.47
25,10,2023,28.27,16.33,0,23.74
26,10,2023,26.72,15.12,0,22.8
27,10,2023,26.5,14.84,0,20.42
28,10,2023,27.57,14.89,0,23.57
29,10,2023,27.28,15.3,0,23.41
30,10,2023,26.85,14.33,0,23.65
31,10,2023,27.43,13.64,0,23.72
1,11,2023,24.77,12.51,0,22.01
2,11,2023,24.81,12.92,0,20.92
3,11,2023,23.87,13.35,0,18.33
4,11,2023,22.96,13.81,0,19.52
5,11,2023,23.37,13.25,0,21.48
6,11,2023,23.53,12.84,0,20.21
7,11,2023,24.45,12.77,0,20.9
8,11,2023,24.72,13.27,0,19.73
9,11,2023,23.62,14.69,3.05,17.54
10,11,2023,23.91,14.05,0.16,19.13
11,11,2023,23.56,14.08,11.65,15.53
12,11,2023,22.68,13.55,0,17.46
13,11,2023,23.64,13.42,0,22.41
14,11,2023,23.83,13.34,0,19.98
15,11,2023,24,13.46,0,18.52
16,11,2023,23.33,14.01,0,19.32
17,11,2023,23.5,13.06,0,20.87
18,11,2023,23.97,12.44,0,22.67
19,11,2023,23.9,10.95,0,22.95
20,11,2023,23.83,10.93,0,22.75
21,11,2023,23.88,11.01,0,22.61
22,11,2023,23.74,11.61,0,22.11
23,11,2023,21.91,13.16,0,20.9
24,11,2023,23.01,12.58,0,19.49
25,11,2023,23.31,12.04,0,18.14
26,11,2023,23.11,13.34,0,16.18
27,11,2023,22.3,14.06,1.07,14.8
28,11,2023,20.77,14.19,4.77,12.66
29,11,2023,20.72,13.82,0,13.72
30,11,2023,22.79,13.91,0,18.07
1,12,2023,22.64,12.99,0,20.04
2,12,2023,23.17,13.1,0,20.98
3,12,2023,23.76,12.39,0,20.33
4,12,2023,23.39,12.75,0,19.07
5,12,2023,23.26,14.08,0,17.95
6,12,2023,23.51,14.39,0,16.31
7,12,2023,23.71,13.84,0,17.07
8,12,2023,24.28,12.29,0,20.91
9,12,2023,23.1,12.74,0,20.03
10,12,2023,21.47,13.07,0,16.01
11,12,2023,22.41,13.39,0,19.55
12,12,2023,23.14,12,0,20.72
13,12,2023,24.59,11.8,0,21.19
14,12,2023,26.09,11.83,0,20.78
15,12,2023,23.68,13.06,0,17.24
16,12,2023,21.78,13.08,0,15.79
17,12,2023,20.41,14.57,0,12.71
18,12,2023,22.23,14.62,0,16.36
19,12,2023,23.16,13.62,0,17.48
20,12,2023,23.31,13.18,0,16.68
21,12,2023,22.01,13.15,0,13.92
22,12,2023,20.99,14.18,0,12.23
23,12,2023,19.26,13.86,0,10.09
24,12,2023,19.27,14.05,0,10.6
25,12,2023,18.32,14.19,0,8.11
26,12,2023,19.01,14.02,0,14.19
27,12,2023,19.54,14.64,2.26,12.25
28,12,2023,22.27,14.45,0.83,15.86
29,12,2023,22.65,14.42,18.07,17.45
30,12,2023,23.6,13.58,0,19.62
31,12,2023,23.12,13.56,0,20.35
1,1,2024,22.74,12.65,0,21.09
2,1,2024,23.01,11.74,0,19.29
3,1,2024,24.64,12.45,0,20.84
4,1,2024,23.13,12.89,0,20.88
5,1,2024,23.12,11.22,0,20.93
6,1,2024,23.94,12.06,0,21.47
7,1,2024,24.63,11.68,0,21.32
8,1,2024,25.12,12.21,0,21.43
9,1,2024,22.39,13.21,0,18.65
10,1,2024,22.49,12.33,0,18.71
11,1,2024,20.95,12.86,0,14.99
12,1,2024,19.36,14.32,12.43,10.5
13,1,2024,18.97,14.1,7.74,11.24
14,1,2024,18.37,13.61,0,13.3
15,1,2024,18.44,12.99,0,15.54
16,1,2024,21.42,12.94,0,18.18
17,1,2024,20.71,13.01,0,16.62
18,1,2024,20.87,13.57,0,17.73
19,1,2024,23.71,12.62,0,21.07
20,1,2024,21.41,13.03,0,17.09
21,1,2024,21.32,12.88,0,16.23
22,1,2024,17.91,14.32,0,11.09
23,1,2024,18.65,13.85,0,11.73
24,1,2024,19.47,13.69,1.21,13.93
25,1,2024,20.08,13.23,0.12,16.28
26,1,2024,17.67,13.74,0.54,10.54
27,1,2024,18.51,13.79,0,13.11
28,1,2024,21.53,12.92,0,21.52
29,1,2024,20.66,12.59,0,20.97
30,1,2024,23.15,13.62,0,20.77
31,1,2024,25.07,13.31,3.95,21.03
